Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG07ALE00000A000000S100,2022.06,2067095,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG07ALE00000A000000S100,2022.09,2097456,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG07ALE00000A000000S100,2022.12,2142639,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG07ALE00000A000000S100,2023.03,2151060,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG07ALE00000A000000S100,2023.06,2161031,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG07ALE00000A000000S100,2023.09,2186546,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG07ALE00000A000000S100,2023.12,2198387,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG07ALE00000A000000S100,2024.03,2198603,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG07ALE00000A000000S100,2024.06,2197175,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,6
SNEQ.SG07ALE00000A000000S100,2024.09,2188346,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,A,Total financial and non-financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,9
